id,locationCode,latitude,longitude,floor,areaId,name,isValidDestination,isAccessible,locationCategoryId
2991,87H52H53+36F,41.0076822530592,-76.4469501518164,3,7,375,1,1,4
2992,87H52H53+46G,41.007801133015900,-76.44692199302250,3,7,377,1,1,4
2993,87H52H53+4CG,41.00780866695270,-76.4464312486518,3,7,381,1,1,3
2839,87H52H53+473,41.00777149112030,-76.44683629727620,3,7,el,0,1,2
2840,87H52H53+472,41.007755053125300,-76.44687230620890,3,7,p,0,1,5
2841,87H52H53+465,41.00775090944070,-76.44688092004340,3,7,p,0,1,5
2842,87H52H53+465,41.00775469187630,-76.44688407481610,3,7,p,0,1,5
2843,87H52H53+36X,41.007740164382500,-76.44690453406020,3,7,p,0,1,5
2844,87H52H53+36W,41.00773841528050,-76.4469083435929,3,7,p,0,1,5
2845,87H52H53+36W,41.00774399784020,-76.44690755727550,3,7,p,0,1,5
2846,87H52H53+36W,41.00774221668550,-76.44691139304840,3,7,p,0,1,5
2847,87H52H53+464,41.007760470857500,-76.44692114813780,3,7,p,0,1,5
2848,87H52H53+464,41.00776443535820,-76.44691301441420,3,7,p,0,1,5
2849,87H52H53+46F,41.00780576518700,-76.44694696157200,3,7,p,0,1,5
2850,87H52H53+36M,41.007723948283900,-76.44695083429090,3,7,p,0,1,5
2851,87H52H53+36J,41.00771287647800,-76.4469751097168,3,7,p,0,1,5
2852,87H52H53+36J,41.0077227082038,-76.44698330763650,3,7,p,0,1,5
2853,87H52H53+36F,41.007696551251800,-76.44696178639830,3,7,p,0,1,5
2854,87H52H53+36Q,41.00771644143770,-76.44689019604910,3,7,p,0,1,5
2855,87H52H53+36P,41.007700676729000,-76.44692477658180,3,7,p,0,1,5
2856,87H52H53+36G,41.00768213108600,-76.44693223104160,3,7,p,0,1,5
2857,87H52H53+364,41.00763949536880,-76.44692034199090,3,7,p,0,1,5
2858,87H52H53+37M,41.007701387577300,-76.44682848708980,3,7,p,0,1,5
2859,87H52H53+37F,41.00769309010010,-76.44682167433700,3,7,p,0,1,5
2860,87H52H53+37Q,41.00771284546130,-76.44677890332370,3,7,p,0,1,5
2861,87H52H53+378,41.007665678016800,-76.44679938010510,3,7,p,0,1,5
2862,87H52H53+37H,41.007685390411100,-76.44675675273500,3,7,p,0,1,5
2863,87H52H53+38R,41.00773558720400,-76.44672970197130,3,7,p,0,1,5
2864,87H52H53+482,41.00775168902100,-76.44672377601660,3,7,p,0,1,5
2865,87H52H53+486,41.00778108054600,-76.44674771309060,3,7,p,0,1,5
2866,87H52H53+47H,41.00780793463080,-76.44676947192440,3,7,p,0,1,5
2867,87H52H53+47P,41.007834182609900,-76.44679076449650,3,7,p,0,1,5
2868,87H52H53+47P,41.0078439226057,-76.4467988479362,3,7,p,0,1,5
2869,87H52H53+484,41.007771017686800,-76.44668129974770,3,7,p,0,1,5
2870,87H52H53+484,41.00775509248950,-76.44666825570410,3,7,p,0,1,5
2871,87H52H53+485,41.0077718554008,-76.44663168058800,3,7,p,0,1,5
2872,87H52H53+489,41.00778783633410,-76.44664481279610,3,7,p,0,1,5
2873,87H52H53+489,41.007794911649300,-76.4466295662544,3,7,p,0,1,5
2874,87H52H53+496,41.007778924858100,-76.44661655073820,3,7,p,0,1,5
2875,87H52H53+48H,41.007824851910400,-76.44665391155170,3,7,p,0,1,5
2876,87H52H53+48W,41.00785051766210,-76.44667483495380,3,7,p,0,1,5
2877,87H52H53+583,41.00787603978150,-76.44669569390560,3,7,p,0,1,5
2878,87H52H53+583,41.00788559266280,-76.44670335986390,3,7,p,0,1,5
2879,87H52H53+497,41.00779675561140,-76.4465776644868,3,7,p,0,1,5
2880,87H52H53+49F,41.007812788256100,-76.44659068816340,3,7,p,0,1,5
2881,87H52H53+49P,41.007831847691700,-76.44654904620850,3,7,p,0,1,5
2882,87H52H53+49P,41.00783803403020,-76.4465354101032,3,7,p,0,1,5
2883,87H52H53+494,41.00777486300840,-76.44655986558080,3,7,p,0,1,5
2884,87H52H53+4CF,41.007817566872200,-76.44646664716120,3,7,p,0,1,5
2885,87H52H53+49X,41.00787334542110,-76.44651190147770,3,7,p,0,1,5
2886,87H52H53+4CM,41.00782697401000,-76.44644638976830,3,7,p,0,1,5
2887,87H52H53+39X,41.00773238354250,-76.44652542157160,3,7,p,0,1,5
2888,87H52H53+4C2,41.007750651819000,-76.44648536281480,3,7,p,0,1,5
2889,87H52H53+4C2,41.007757290368700,-76.44647114596860,3,7,p,0,1,5
2890,87H52H53+4C3,41.007764887076700,-76.44645425154610,3,7,p,0,1,5
2891,87H52H53+39P,41.007722871028000,-76.44654596044520,3,7,p,0,1,5
2892,87H52H53+39P,41.007717076020200,-76.44655864652240,3,7,p,0,1,5
2893,87H52H53+39M,41.007713729030000,-76.44656581407080,3,7,p,0,1,5
2894,87H52H53+39C,41.007694081752100,-76.44660878710040,3,7,p,0,1,5
2895,87H52H53+39C,41.00768805772860,-76.4466217935739,3,7,p,0,1,5
2896,87H52H53+38H,41.0076819245565,-76.44663506744590,3,7,p,0,1,5
2897,87H52H53+388,41.00766762077350,-76.44666649006120,3,7,p,0,1,5
2898,87H52H53+387,41.00765406204330,-76.44669579739030,3,7,p,0,1,5
2899,87H52H53+383,41.00764735850280,-76.44671031562480,3,7,p,0,1,5
2900,87H52H53+382,41.00764213339890,-76.44672165798020,3,7,p,0,1,5
2901,87H52H53+27X,41.00761916197150,-76.44677195618330,3,7,p,0,1,5
2902,87H52H53+27W,41.00761341367300,-76.44678456475440,3,7,p,0,1,5
2903,87H52H53+27W,41.00760841716650,-76.44679526875680,3,7,p,0,1,5
2904,87H52H53+27J,41.00758380453900,-76.44684862202090,3,7,p,0,1,5
2905,87H52H53+27J,41.00757648837510,-76.4468647329136,3,7,p,0,1,5
2906,87H52H53+26H,41.00756955218160,-76.4468799107247,3,7,p,0,1,5
2907,87H52H53+26H,41.00756666887710,-76.44688617763120,3,7,p,0,1,5
2908,87H52H53+26H,41.00756120131320,-76.44689806821640,3,7,p,0,1,5
2909,87H52H53+26G,41.00755025959750,-76.4469222511869,3,7,p,0,1,5
2910,87H52H53+267,41.007531417600600,-76.44696308190640,3,7,p,0,1,5
2911,87H52H53+266,41.007526520146400,-76.446973482421,3,7,p,0,1,5
2912,87H52H53+262,41.00751969218570,-76.44698824618420,3,7,p,0,1,5
2913,87H52H53+372,41.00763568924620,-76.4468646538711,3,7,p,0,1,5
2914,87H52H53+26X,41.0076181677352,-76.4469030338828,3,7,p,0,1,5
2915,87H52H53+26W,41.007612050714600,-76.4469163509636,3,7,p,0,1,5
2916,87H52H53+26M,41.0075932899111,-76.4469571244305,3,7,p,0,1,5
2917,87H52H53+25G,41.00755117923290,-76.44704916446420,3,7,p,0,1,5
2918,87H52H53+257,41.00754235728700,-76.44706791325140,3,7,p,0,1,5
2919,87H52H53+25V,41.0076052094392,-76.44709302256650,3,7,p,0,1,5
2920,87H52H53+362,41.00763444490870,-76.44699065209620,3,7,p,0,1,5
2921,87H52H53+25X,41.007616544853200,-76.44702959166470,3,7,p,0,1,5
2922,87H52H53+25W,41.00760956707920,-76.44704473782100,3,7,p,0,1,5
3069,87H52H52+2V6,41.00753234928130,-76.44784955291330,0,8,1A,1,1,3
3070,87H52H52+4RH,41.00782072160040,-76.44790159100210,0,8,3,1,1,4
3071,87H52H52+4XJ,41.00783812963550,-76.44761840608600,0,8,4,1,1,4
3072,87H52H52+3WW,41.00772991756000,-76.44768122001230,0,8,5,1,1,4
3073,87H52H52+4X8,41.00779429803430,-76.44754474682960,0,8,7,1,1,3
3074,87H52H53+42F,41.00782096842940,-76.44746056612800,0,8,8,1,1,3
3075,87H52H53+53J,41.00795761323910,-76.44736922196730,0,8,10,1,1,4
3076,87H52H53+527,41.00791563365590,-76.44746180214290,0,8,10A,1,1,4
3077,87H52H52+5WG,41.00792682271190,-76.44767036339700,0,8,13,1,1,4
